,total_wins,win_percentage,srs,sos,opp_pass_cmp,opp_pass_att,opp_pass_cmp_pct,opp_pass_yds,opp_pass_td,opp_tot_yds,opp_tot_yds_per_play,opp_first_down,opp_penalty,opp_turnovers,ppg,oppg,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,rush_att,rush_yds,rush_yds_per_att,rush_td,tot_plays,tot_yds,tot_yds_per_play,first_down,penalty,turnovers
G402016,-3,-0.23076923076923073,3.2700000000000014,9.91,0.4999999999999982,2.900000000000002,-4.0,2.5,-0.29999999999999993,-52.200000000000045,-0.8999999999999995,-1.5,-1.5,0.10000000000000009,-14.830769230769242,-3.9076923076923062,-4.507692307692309,-3.1230769230769226,-0.09671881060116361,-80.5538461538462,-1.507692307692308,2.9076923076923222,-32.476923076923015,-0.9539676961255434,-5.1230769230769235,-1.8307692307692207,-113.03076923076924,-1.4075567187815654,-5.2769230769230795,-1.846153846153848,0.6153846153846156
G412016,-1,-0.0714285714285714,-5.540000000000003,-0.75,-1.3999999999999986,-1.6999999999999957,-1.3999999999999986,-16.0,-0.09999999999999998,49.69999999999999,0.5999999999999996,2.5,4.0,-0.09999999999999987,0.1428571428571459,5.642857142857146,9.57142857142857,13.32142857142857,0.021293929167944925,113.5,1.25,-5.321428571428562,-70.74999999999997,-1.0639889860856506,9.07142857142857,9.321428571428584,42.85714285714289,-0.22372926047625086,5.2499999999999964,1.071428571428573,0.5
G12015,-2,-0.16666666666666674,-5.51,3.65,2.1000000000000014,3.8000000000000007,-0.5,26.599999999999994,0.3999999999999999,63.19999999999999,1.0,2.0,1.4000000000000004,-0.10000000000000009,-9.799999999999997,6.550000000000008,5.1416666666666675,9.066666666666663,-0.01287194056169394,38.508333333333354,-1.133333333333333,-5.449999999999989,-82.57499999999996,-1.2138523710332212,16.008333333333333,4.950000000000003,-44.06666666666683,-1.0528240205230608,0.20833333333333925,0.7083333333333321,-0.4333333333333331
G22015,-1,-0.08333333333333337,7.880000000000001,6.96,4.300000000000001,4.900000000000002,4.299999999999997,23.5,0.30000000000000004,29.30000000000001,-0.1999999999999993,0.9000000000000021,2.0999999999999996,-0.7,7.458333333333336,8.683333333333337,12.750000000000005,19.549999999999997,0.07162676519847622,137.4,1.6500000000000001,-9.483333333333341,-22.258333333333326,0.570788157203201,11.216666666666663,13.316666666666677,115.14166666666671,0.47480371152020595,7.4333333333333265,-0.8583333333333307,-0.025000000000000133
G32015,-1,-0.08333333333333337,1.09,0.3199999999999994,1.6999999999999993,-0.6999999999999957,5.700000000000003,-11.300000000000011,-0.19999999999999996,-43.5,-0.5,0.5999999999999979,-0.5,-0.9000000000000001,-4.291666666666664,-2.0999999999999943,6.450000000000001,8.56666666666667,0.042817692746354274,99.01666666666665,0.18333333333333335,-15.483333333333327,-82.6583333333333,-0.20600193359545038,-4.983333333333334,-5.808333333333323,16.57499999999999,0.7356328103113894,1.375,-3.3083333333333336,-0.18333333333333335
G42015,1,0.08333333333333331,-2.63,-2.7800000000000002,6.699999999999999,10.0,3.700000000000003,64.69999999999999,0.30000000000000004,47.30000000000001,-0.2999999999999998,4.5,2.5,0.7000000000000001,-0.1666666666666714,0.27500000000000213,3.349999999999998,7.94166666666667,-0.05302052738083196,113.79999999999995,0.5666666666666669,-11.124999999999996,-78.66666666666666,-0.9916178916418805,13.85,0.48333333333330586,35.13333333333338,0.4536092959576168,-1.0916666666666721,2.841666666666666,0.5416666666666667
G52015,0,0.0,3.880000000000001,3.66,3.0,6.4999999999999964,-1.5,55.89999999999998,0.7999999999999999,21.100000000000023,0.2999999999999998,0.6999999999999993,-1.0999999999999996,0.9000000000000001,-3.9416666666666735,0.041666666666674956,-5.166666666666668,-9.341666666666669,0.021260779066309854,-106.09166666666664,-0.7,16.44166666666667,54.89166666666665,-0.4017607989274943,-5.016666666666666,2.0416666666666714,-51.2000000000001,-0.889556455541177,-0.30833333333333357,-1.1666666666666679,0.5250000000000001
G62015,3,0.17948717948717952,3.7399999999999993,-3.2799999999999994,-1.1999999999999993,-0.8999999999999986,-2.299999999999997,0.09999999999999432,0.8,23.100000000000023,0.5,1.2000000000000028,-0.9000000000000004,0.30000000000000027,10.762820512820511,4.141666666666666,14.639743589743587,17.024358974358975,0.10855276635541766,180.46089743589746,1.6461538461538465,-14.567307692307686,-88.8647435897436,-0.3984328556566368,12.429487179487179,4.266025641025635,91.70384615384614,0.8979546722219078,5.080128205128204,-0.19679487179486976,-0.16153846153846163
G72015,-1,-0.08333333333333337,-0.86,2.5200000000000005,-7.699999999999999,-10.799999999999997,-5.200000000000003,-57.69999999999999,-0.6000000000000001,1.3000000000000114,0.10000000000000053,-1.5,-1.5,-0.6000000000000001,5.69166666666667,5.466666666666658,2.6000000000000014,1.4583333333333286,0.06280281216416883,8.741666666666646,0.050000000000000266,-5.799999999999997,-2.6916666666666913,0.5724059342701189,-2.366666666666667,-2.00833333333334,5.8333333333332575,0.24246561311741477,-0.7416666666666671,-1.549999999999999,0.26666666666666705
G82015,-1,0.04895104895104896,3.71,0.1299999999999999,3.8000000000000007,6.0,0.7999999999999972,49.89999999999998,0.4,38.5,0.09999999999999964,3.3999999999999986,0.39999999999999947,0.19999999999999996,1.542657342657332,0.21538461538461462,1.836363636363636,4.304895104895106,-0.017865751824771348,34.66013986013991,0.49230769230769256,5.366433566433571,60.00139860139856,0.8926162149571821,-5.668531468531469,8.615384615384627,94.66153846153838,0.6249248407098351,3.4139860139860154,1.9706293706293705,-0.12167832167832171
